gen	pop	freqMut	ScoefMut	DcoefMut	Ne	hmode	prod	U	rho	seed
40000	1	0.0107298	0.0310972	0.00716821	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0727091	0.0338543	0.026388	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0298234	0.0275154	0.0212576	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00683106	0.0829789	0.070667	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00503166	0.333863	0.00447169	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00503166	0.014534	0.250986	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0258914	0.00533051	0.0256365	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0583139	0.00217835	0.148797	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0191603	0.128935	0.0197022	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00653116	0.0119485	0.0151165	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00943019	0.0840241	0.00244433	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00943019	0.0426474	0.00471691	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0321559	0.00133112	0.328879	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0232256	0.00314123	0.00356682	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0357214	0.00686202	0.07654	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0109297	0.0123801	0.0539118	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0142286	0.193447	0.0122062	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0056981	0.0035188	0.0355618	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0201933	0.023284	0.161009	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0370876	0.00804245	0.0311968	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00963012	0.00880998	0.118932	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.021093	0.0152843	0.314667	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.169943	0.000667756	0.0366506	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
